testfile 	 datafile 	 n_unreachable
TASK 1
Globbing /home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment*; got: ['/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment6/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment5/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experimentAnalysis/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment16/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment1/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment15/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment17/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment2/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment12/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment7/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment4/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment9/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment11/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment10/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment14/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment18/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment13/', '/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment3/']
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/Action2.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/Action5.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/Action4.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/Action1.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment8/Action3.bag	2
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment6/Action2.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment6/Action5.bag	0
Action1.txt	/home/mbforbes/rosbuild_ws/pr2_pbd/pr2_pbd_interaction/data/experiment6/Action4.bag	0
