75,80,0,100,95,0,100,80,50,100,50,100,65,0,0
90,90,80,85,85,65,80,80,60,90,85,90,85,75,0
100,100,100,100,100,50,100,100,100,100,100,100,100,50,50
90,95,0,100,95,0,65,50,0,70,0,85,90,0,0
100,100,0,100,100,0,80,100,0,100,100,100,100,0,0
75,85,60,90,85,50,60,75,50,75,50,85,60,30,55
99,99,99,99,99,80,80,85,80,85,0,95,95,95,90
90,90,90,90,90,80,50,0,0,50,0,80,0,80,0
100,100,0,100,100,60,75,90,60,100,100,100,100,75,75
100,100,100,100,100,20,20,35,30,35,55,45,50,10,10
95,95,5,95,95,85,85,80,85,95,95,95,95,2,95
100,100,80,100,80,60,100,100,100,100,100,100,100,0,70
90,90,50,90,90,0,50,80,0,80,0,70,50,0,0
90,90,0,70,90,60,70,60,0,80,0,80,80,0,80
100,100,0,100,100,80,90,90,1,100,100,95,100,10,50
70,100,100,100,100,70,70,70,70,70,100,90,90,0,50
90,90,0,80,80,60,80,70,0,90,80,90,90,0,0
50,75,70,75,75,20,70,40,30,60,80,80,80,80,60
80,80,80,80,80,60,0,80,80,75,0,0,0,0,0
85,98,0,98,90,85,98,90,0,90,0,98,98,95,0
100,100,0,100,100,0,95,95,0,95,100,100,100,0,0
90,90,0,60,90,75,90,60,0,90,100,90,100,90,0
90,90,0,90,90,0,60,50,10,40,0,0,0,0,0
100,100,0,100,0,40,90,60,70,100,100,90,100,30,90
85,90,15,90,90,80,75,85,75,90,90,85,90,80,90
80,75,30,75,40,75,85,60,0,75,70,80,85,0,0
70,100,90,100,50,50,60,40,75,75,0,40,50,60,60
90,95,0,95,95,70,100,70,60,95,75,85,80,0,0
90,90,0,90,90,0,60,70,30,90,0,60,70,0,60
90,90,0,90,100,40,100,90,70,100,0,100,100,40,90
70,90,0,50,50,90,45,90,0,90,90,80,90,0,0
